text,category,source,doc_id,processed_text,cluster,predicted_category
"28 Years Later: The Bone Temple review – Ralph Fiennes is phenomenal in best chapter yet of zombie horror.  A murderous Clockwork-Orangey gang take on the zombies in this gruesome and energised fourquel.  It’s the finest of the 28 franchise by a blood-curdling mileIt’s very rare for a fourquel to be the best film in a franchise, but that’s how things stand with the chequered 28 Days Later series.",Entertainment,The Guardian,107,year later bone templ review ralph fienn phenomen best chapter yet zombi horror murder clockworkorangey gang take zombi gruesom energis fourquel finest franchis bloodcurdl mileit rare fourquel best film franchis that thing stand chequer day later series,1,Entertainment
"The Voice of Hind Rajab review – docufiction is fierce, vehement and heart-shattering.  In an audacious move, director Kaouther Ben Hania reconstructs the killing of the five-year-old in Gaza using her real voice as she is bombarded by the Israeli armyThere can be no doubt about which movie has set the Venice film festival ablaze – it is this one, from Tunisian film-maker Kaouther Ben Hania.  The Voice of Hind Rajab is about the horrifying ordeal of the five-year-old Palestinian girl Hind Rajab, who was killed in 2024 by the Israel Defense Forces (IDF) in Gaza in her uncle’s car along with six family members, and two paramedics who tried to come to her rescue.",Entertainment,The Guardian,108,voic hind rajab review docufict fierc vehement heartshatt audaci move director kaouther ben hania reconstruct kill fiveyearold gaza use real voic bombard isra armyther doubt movie set venic film festival ablaz one tunisian filmmak kaouther ben hania voic hind rajab horrifi ordeal fiveyearold palestinian girl hind rajab kill israel defens forc idf gaza uncl car along six famili member two paramed tri come rescu,1,Entertainment
"Bulk review – Ben Wheatley’s quirky sci-fi brings small-budget charm to big questions.  Wheatley’s engaging tale sends Sam Riley’s tough-guy reporter to the home of a reclusive oligarch who has invented a ‘Brain Collider’On a modest budget, director Ben Wheatley gives us a retro sci-fi with much tongue-in-cheek paranoia, questioning of reality and proliferation of multiverses, and featuring comic-book dialogue that’s been re-recorded, giving the whole thing a sheen of dreamlike unreality.  There’s also a lot of quirky lo-fi special effects work with Airfix models.",Entertainment,The Guardian,109,bulk review ben wheatley quirki scifi bring smallbudget charm big question wheatley engag tale send sam riley toughguy report home reclus oligarch invent brain collideron modest budget director ben wheatley give retro scifi much tongueincheek paranoia question realiti prolifer multivers featur comicbook dialogu that rerecord give whole thing sheen dreamlik unreal there also lot quirki lofi special effect work airfix model,1,Entertainment
"Clickbait review – gripping drama about the human cost of moderating the internet.  A social media content moderator becomes obsessed with a violent video in this restrained, unsettling workplace thriller starring Lili ReinhartHere is a workplace drama, of sorts.  Like many people, Daisy (Lili Reinhart) works a desk job using a computer.",Entertainment,The Guardian,110,clickbait review grip drama human cost moder internet social media content moder becom obsess violent video restrain unsettl workplac thriller star lili reinharther workplac drama sort like mani peopl daisi lili reinhart work desk job use comput,1,Entertainment
"The Knife review – audaciously taut film about police encounter is intense drama of mutual suspicion.  A crime committed in the home of a regular black American family results in paranoia on all sides in this 81-minute film from Nnamdi AsomughaHere is a compact drama that twists itself like a tourniquet over 81 minutes, as a bad situation turns into a catastrophe for an ordinary American family. Late one night in an unnamed city, construction worker Chris (Nnamdi Asomugha, also the film’s director and co-writer) finishes a DIY project in his own home and sinks a beer or two.",Entertainment,The Guardian,111,knife review audaci taut film polic encount intens drama mutual suspicion crime commit home regular black american famili result paranoia side minut film nnamdi asomughaher compact drama twist like tourniquet minut bad situat turn catastroph ordinari american famili late one night unnam citi construct worker chri nnamdi asomugha also film director cowrit finish diy project home sink beer two,1,Entertainment
"A Gangster’s Life review – funny in parts, but not always deliberately.  Despite some interesting visuals, not even Tony Cook and Jonny Weldon can lift this poorly produced tale of a pair of dodgy lads hiding in Greece from a gangsterHere is an odd film about a couple of dodgy lads who get on the wrong side of a bona fide gangster and have to hide out in Greece.  It’s not thoughtless per se; rather, it lacks the resources to bring its vision successfully to screen.",Entertainment,The Guardian,112,gangster life review funni part alway deliber despit interest visual even toni cook jonni weldon lift poorli produc tale pair dodgi lad hide greec gangsterher odd film coupl dodgi lad get wrong side bona fide gangster hide greec thoughtless per rather lack resourc bring vision success screen,2,Business
"State of Statelessness review – Dalai Lama presides over intimate dramas about Tibetans’ life of exile.  Tibetan directors, who all live outside Tibet, deliver a quartet of films that explore the pain of separation and migrationThe wrench of exile is the theme of this quartet of short films from Tibetan directors, who themselves all live outside Tibet.  Their intimate, emotional family dramas tell stories of separation and migration.",Entertainment,The Guardian,113,state stateless review dalai lama presid intim drama tibetan life exil tibetan director live outsid tibet deliv quartet film explor pain separ migrationth wrench exil theme quartet short film tibetan director live outsid tibet intim emot famili drama tell stori separ migrat,1,Entertainment
"Guián review – celebration of multicultural identity through a Chinese grandmother in Costa Rica.  Director Nicole Chi Amén embarks on a journey to learn more about her own mixed cultural heritage after the death of her Guangdong-born grandmaNicole Chi Amén, a Costa Rican woman of Chinese descent, has always been on the outside looking in.  The opening scene of her moving debut feature replicates this predicament visually: her face pressed against a metal barricade, she looks through a hole in the opaque facade with interest.",Entertainment,The Guardian,114,guin review celebr multicultur ident chines grandmoth costa rica director nicol chi amn embark journey learn mix cultur heritag death guangdongborn grandmanicol chi amn costa rican woman chines descent alway outsid look open scene move debut featur replic predica visual face press metal barricad look hole opaqu facad interest,2,Business
"Escape review – notorious Japanese revolutionary tells story of country’s most wanted criminal.  Director Masao Adachi – formerly of the Japanese Red Army – on the infamous Satoshi Kirishima, who went on the run in 1975 after a series of corporate bombingsMasao Adachi is an 86-year-old Japanese film-maker and former revolutionary activist who spent almost 30 years in Lebanese exile due to his former membership of terrorist group the Japanese Red Army in the 1970s; arrested on his return to Japan, after his release from prison he returned to cinema – and has now made this intriguing chamber piece called Tôsô, or Escape, an intensely, sometimes even passionately acted piece of work, imagining the inner life of a man who was once Japan’s most wanted fugitive. It is about the now infamous Satoshi Kirishima who, after his involvement in terrorist attacks on corporate buildings, went on the run from the police in 1975 and for decades lived as a cash-in-hand construction worker under a false name, hiding under the radar but in plain sight.",Entertainment,The Guardian,115,escap review notori japanes revolutionari tell stori countri want crimin director masao adachi formerli japanes red armi infam satoshi kirishima went run series corporate bombingsmasao adachi yearold japanes filmmak former revolutionari activist spent almost year lebanes exil due former membership terrorist group japanes red armi arrest return japan releas prison return cinema made intrigu chamber piec call escap intens sometim even passion act piec work imagin inner life man japan want fugit infam satoshi kirishima involv terrorist attack corporate build went run polic decad live cashinhand construct worker fals name hide radar plain sight,1,Entertainment
"Hamnet review – Paul Mescal and Jessie Buckley beguile and captivate in audacious Shakespearean tragedy.  Chloé Zhao’s film version of Maggie O’Farrell’s myth-making novel powerfully reimagines the agonising loss of a child as the source of Hamlet’s grand stage drama‘The joys of parents are secret, and so are their griefs and fears …” This is Francis Bacon’s essay Of Parents and Children; maybe they were more secret in his day than ours.  This kind of secrecy and revelation is part of Chloé Zhao’s deeply felt romantic fantasy about the origin of William Shakespeare’s tragedy Hamlet.",Entertainment,The Guardian,116,hamnet review paul mescal jessi buckley beguil captiv audaci shakespearean tragedi chlo zhao film version maggi ofarrel mythmak novel power reimagin agonis loss child sourc hamlet grand stage dramath joy parent secret grief fear franci bacon essay parent children mayb secret day kind secreci revel part chlo zhao deepli felt romant fantasi origin william shakespear tragedi hamlet,1,Entertainment
"Netflix ‘plans to switch to all-cash offer to seal $83bn Warner Bros deal’.  Aim is to speed up acquisition of WBD studio and streaming businesses and hold off rival Paramount bidNetflix is reportedly preparing to switch to an all-cash offer to seal its takeover of the studios and streaming businesses of Warner Bros Discovery (WBD), as it tries to speed up the deal and fend off a rival hostile bid from Paramount Skydance. The changes to Netflix’s $83bn (£62bn) offer, first reported by Bloomberg, are designed to accelerate the acquisition, which is expected to take months to conclude, and make it more palatable for WBD shareholders.",Entertainment,The Guardian,117,netflix plan switch allcash offer seal warner bro deal aim speed acquisit wbd studio stream busi hold rival paramount bidnetflix reportedli prepar switch allcash offer seal takeov studio stream busi warner bro discoveri wbd tri speed deal fend rival hostil bid paramount skydanc chang netflix offer first report bloomberg design acceler acquisit expect take month conclud make palat wbd sharehold,2,Business
Zoe Saldaña becomes highest-grossing actor of all time.  Star overtook Scarlett Johansson after success of third Avatar – her films have now made more than $15. 46bn worldwideZoe Saldaña has become the highest-grossing actor of all time.,Entertainment,The Guardian,118,zoe saldaa becom highestgross actor time star overtook scarlett johansson success third avatar film made worldwidezo saldaa becom highestgross actor time,1,Entertainment
"‘We are living in an age of cruelty’: George Clooney rebukes Tarantino for insulting Paul Dano.  The Jay Kelly star says he would be honoured to work with Dano, Owen Wilson and Matthew Lillard after all three actors were criticised by the director George Clooney has said he would be “honoured” to work with three actors who were heavily criticised by Quentin Tarantino last month.  Speaking at AARP’s Movies for Grownups awards on 10 January, Clooney said: “By the way, Paul Dano and Owen Wilson and Matthew Lillard, I would be honoured to work with those actors.",Entertainment,The Guardian,119,live age cruelti georg clooney rebuk tarantino insult paul dano jay kelli star say would honour work dano owen wilson matthew lillard three actor criticis director georg clooney said would honour work three actor heavili criticis quentin tarantino last month speak aarp movi grownup award januari clooney said way paul dano owen wilson matthew lillard would honour work actor,1,Entertainment
"Chalamet a smash, Sinners shut out: the key Golden Globes snubs and surprises.  Paul Thomas Anderson’s One Battle After Another looks unstoppable ahead of the Oscars, despite Timothée Chalamet’s triumph over Leonardo DiCaprio for best actorThe biggest backlash brewing concerns Ryan Coogler’s Sinners, lauded by critics and embraced – especially in the US – by audiences as one of 2025’s key cultural landmarks.  The thriller did win two Globes – for cinematic and box office achievement and original score – but both wound up not really counting.",Entertainment,The Guardian,120,chalamet smash sinner shut key golden globe snub surpris paul thoma anderson one battl anoth look unstopp ahead oscar despit timoth chalamet triumph leonardo dicaprio best actorth biggest backlash brew concern ryan coogler sinner laud critic embrac especi audienc one key cultur landmark thriller win two globe cinemat box offic achiev origin score wound realli count,1,Entertainment
"‘Soon I will die.  And I will go with a great orgasm’: the last rites of Alejandro Jodorowsky.  The Chilean film-maker’s psychedelic work earned him the title ‘king of the midnight movie’, and a fan in John Lennon.",Entertainment,The Guardian,121,soon die great orgasm last rite alejandro jodorowski chilean filmmak psychedel work earn titl king midnight movie fan john lennon,2,Business
"‘It’s more productive than doomscrolling’: film-maker Ben Wheatley on his secret life as musician Dave Welder.  While playing with nine-figure Hollywood budgets, the Kill List and Meg 2 director has become a prolific music producer.  Next up is his experimental film, BulkDave Welder may just be the most prolific musician you’ve never heard of.",Entertainment,The Guardian,122,product doomscrol filmmak ben wheatley secret life musician dave welder play ninefigur hollywood budget kill list meg director becom prolif music produc next experiment film bulkdav welder may prolif musician youv never heard,1,Entertainment
"‘I haven’t mellowed my violence’: Park Chan-wook on cultural dominance, the capitalist endgame and why we can’t beat AI.  His brutal movies put Korean cinema on the map.  Now the director of Oldboy is back with a blistering satire about a man driven to murder after redundancyThe Korean wave is being feted around the world right now but Park Chan-wook is not feeling too celebratory.",Entertainment,The Guardian,123,havent mellow violenc park chanwook cultur domin capitalist endgam cant beat brutal movi put korean cinema map director oldboy back blister satir man driven murder redundancyth korean wave fete around world right park chanwook feel celebratori,1,Entertainment
"‘It was overwhelming’: Katie Leung on Harry Potter, sudden fame, insecurity – and starring in Bridgerton.  As a teenager, the actor landed her first ever job in the blockbuster film series.  The experience was fun – but also led to horrendous online abuse.",Entertainment,The Guardian,124,overwhelm kati leung harri potter sudden fame insecur star bridgerton teenag actor land first ever job blockbust film series experi fun also led horrend onlin abus,1,Entertainment
"From Ralph Fiennes to Jeffrey Wright: the most overlooked performances this awards season.  Jessie Buckley and Timothée Chalamet might be winning all of the awards but as Oscar voting begins, these actors also deserve inclusionEvery January, if not earlier, awards narratives leading up to the Oscars take shape.  While the specifics of the Academy Award nominations are never known in advance, and can always be counted on for some surprises when they’re actually unveiled, critics and pundits and fans all enter into that final stretch with a pretty good idea of who won’t be nominated.",Entertainment,The Guardian,125,ralph fienn jeffrey wright overlook perform award season jessi buckley timoth chalamet might win award oscar vote begin actor also deserv inclusioneveri januari earlier award narr lead oscar take shape specif academi award nomin never known advanc alway count surpris theyr actual unveil critic pundit fan enter final stretch pretti good idea wont nomin,1,Entertainment
"‘Uncomfortably relatable’: writers on their favourite unlikable movie characters.  With debate still swirling over the unlikable nature of Marty Supreme’s careless protagonist, Guardian writers have picked their all-time love-to-hate leadsSpoilers aheadI can remember seeing As Good As It Gets in the theater as a teenager and being pleasantly startled by the sight of Jack Nicholson’s Melvin Udall, romcom super-grouch.  Here’s a bestselling romance author who disdains love, an OCD sufferer who weaponizes his affliction, a New Yorker who hates crowds (who can’t relate?).",Entertainment,The Guardian,126,uncomfort relat writer favourit unlik movie charact debat still swirl unlik natur marti suprem careless protagonist guardian writer pick alltim lovetoh leadsspoil aheadi rememb see good get theater teenag pleasantli startl sight jack nicholson melvin udal romcom supergrouch here bestsel romanc author disdain love ocd suffer weapon afflict new yorker hate crowd cant relat,1,Entertainment
"Matt Damon’s best films – ranked!.  Ahead of his reunion with Ben Affleck in thriller The Rip – as well as his starring role in Christopher Nolan’s upcoming Imax epic The Odyssey – we run through the best work of one of Hollywood’s most reliable heroesMatt Damon is essentially a bland dish that requires the right spice truly to zing, which means he is often at his best when playing beastly.  His flagrantly nasty turn as one of the antisemitic bullies who makes prep school life hell for a secretly Jewish classmate (Brendan Fraser) offers an early indication that Damon realised this, too.",Entertainment,The Guardian,127,matt damon best film rank ahead reunion ben affleck thriller rip well star role christoph nolan upcom imax epic odyssey run best work one hollywood reliabl heroesmatt damon essenti bland dish requir right spice truli zing mean often best play beastli flagrantli nasti turn one antisemit bulli make prep school life hell secretli jewish classmat brendan fraser offer earli indic damon realis,1,Entertainment
"The Golden Globes ceremony ignored politics.  But their big winner taps today’s unhappy turbulence | Peter Bradshaw.  One Battle After Another engages with the tense climate of the second Trump administration unlike any other contenderNow that the political scene in the contemporary United States looks like an unending string of military PR coups for the Trumpian right at home and abroad, it’s appropriate that Paul Thomas Anderson’s spectacular, mysterious counterculture epic One Battle After Another – with Leonardo DiCaprio as a clueless, dishevelled ex-revolutionary – should consolidate its current position as one of the leading movies of this awards season: winning four Globes including best musical or comedy and best director for Paul Thomas Anderson – whose fluency, productivity and pure technique and ambition are arguably making him America’s pre-eminent film-maker.",Entertainment,The Guardian,128,golden globe ceremoni ignor polit big winner tap today unhappi turbul peter bradshaw one battl anoth engag tens climat second trump administr unlik contendernow polit scene contemporari unit state look like unend string militari coup trumpian right home abroad appropri paul thoma anderson spectacular mysteri countercultur epic one battl anoth leonardo dicaprio clueless dishevel exrevolutionari consolid current posit one lead movi award season win four globe includ best music comedy best director paul thoma anderson whose fluenci product pure techniqu ambit arguabl make america preemin filmmak,1,Entertainment
"With Venezuela, Trump has achieved his dream of making his own 80s action movie.  Given his rise during the ego joyride of the 1980s, it’s no shock that Trump’s foreign policy is to emulate that decade’s belligerent cinemaThe box office barnstormer of 2026 arrived early this year.  A sleazy banana-republic dictator flooding the American streets with blow.",Entertainment,The Guardian,129,venezuela trump achiev dream make action movie given rise ego joyrid shock trump foreign polici emul decad belliger cinemath box offic barnstorm arriv earli year sleazi bananarepubl dictat flood american street blow,2,Business
"What’s to like? Why you can hate Timothée Chalamet’s character and still love Marty Supreme.  Chalamet’s nogoodnik ping-pong hustler character is the latest in cinema’s rich history of protagonists with shabby morals.  So why the backlash?In the new hit movie Marty Supreme, the story is pushed forward by how lead character Marty Mauser keeps making messes then, rather than cleaning them up, manages to expand their scope beyond reason.",Entertainment,The Guardian,130,what like hate timoth chalamet charact still love marti suprem chalamet nogoodnik pingpong hustler charact latest cinema rich histori protagonist shabbi moral backlashin new hit movie marti suprem stori push forward lead charact marti mauser keep make mess rather clean manag expand scope beyond reason,1,Entertainment
"Putin as a Russian James Bond? Jude Law’s Vladimir film seems to have swallowed Kremlin myths | Natasha Kiseleva.  In The Wizard of the Kremlin, Jude Law plays Russia’s president as a cool, reluctant leader, a strategist who got the job because he was young, athletic and a spy.  This is a creation far removed from the man himselfLast year, speaking at the Venice film festival premiere of The Wizard of the Kremlin, based on a book about the rise of Vladimir Putin, actor Jude Law said he “didn’t fear any repercussions” over his portrayal of the Russian president.",Entertainment,The Guardian,131,putin russian jame bond jude law vladimir film seem swallow kremlin myth natasha kiseleva wizard kremlin jude law play russia presid cool reluct leader strategist got job young athlet spi creation far remov man himselflast year speak venic film festival premier wizard kremlin base book rise vladimir putin actor jude law said didnt fear repercuss portray russian presid,1,Entertainment
"‘Even thinking about Coldplay I get tearful’: Denise Lewis’s honest playlist.  The former heptathlete throws shapes to Cameo and got gold-medal inspiration from Whitney, but which rapper helps get her out of bed?The first song I fell in love with I was at nursery school when Bohemian Rhapsody by Queen was the song of the moment.  I remember seeing the video on Top of the Pops, which is chilling at first, but epic when it gets to the big guitar break.",Entertainment,The Guardian,132,even think coldplay get tear denis lewiss honest playlist former heptathlet throw shape cameo got goldmed inspir whitney rapper help get bedth first song fell love nurseri school bohemian rhapsodi queen song moment rememb see video top pop chill first epic get big guitar break,1,Entertainment
"Add to playlist: the dark fog of Los Angeles saxophonist Aaron Shaw and the week’s best new tracks.  The woodwind player who taught André 3000 music theory releases his searching debut album next monthFrom Los AngelesRecommend if you like Miguel Atwood Ferguson, Shabaka Hutchings’s flute music, the ColtranesUp next Debut album And So It Is released 13 FebruaryFor woodwind players, breath is everything: the lifeforce of artistry, the thing that furnishes sound with personality.  But a few years ago, the Los Angeles saxophonist Aaron Shaw realised he was becoming increasingly breathless.",Entertainment,The Guardian,133,add playlist dark fog lo angel saxophonist aaron shaw week best new track woodwind player taught andr music theori releas search debut album next monthfrom lo angelesrecommend like miguel atwood ferguson shabaka hutchingss flute music coltranesup next debut album releas februaryfor woodwind player breath everyth lifeforc artistri thing furnish sound person year ago lo angel saxophonist aaron shaw realis becom increasingli breathless,1,Entertainment
"A$AP Rocky: Don’t Be Dumb review – a charismatic, playful return, but it’s no slam dunk.  (A$AP Rocky Recordings)Now a father of three and burgeoning actor, Rocky finally comes back to music with his strongest album since his 2013 debut – though there’s plenty of flabIt has been eight years since A$AP Rocky, once and future king of New York rap, released an album.  In the world of hip-hop, where even A-list stars such as Rocky’s friend and collaborator Tyler, the Creator are prone to releasing multiple albums a year, this is a lifetime.",Entertainment,The Guardian,134,aap rocki dont dumb review charismat play return slam dunk aap rocki recordingsnow father three burgeon actor rocki final come back music strongest album sinc debut though there plenti flabit eight year sinc aap rocki futur king new york rap releas album world hiphop even alist star rocki friend collabor tyler creator prone releas multipl album year lifetim,1,Entertainment
"‘We wouldn’t still be playing if we’d got stinking rich’: the Damned celebrate 50 years of punk, goth and holy grail hunting.  An appetite for self-destruction left Dave Vanian, Captain Sensible and Rat Scabies hugely influential but financially insecure.  They’re back with a big show and their first album together since 1995‘There isn’t one songwriter, and so the flavour of the band is always going to change,” says Dave Vanian, reflecting on 50 years of the group of which he has been the sole constant member, the Damned.",Entertainment,The Guardian,135,wouldnt still play wed got stink rich damn celebr year punk goth holi grail hunt appetit selfdestruct left dave vanian captain sensibl rat scabi huge influenti financi insecur theyr back big show first album togeth sinc isnt one songwrit flavour band alway go chang say dave vanian reflect year group sole constant member damn,1,Entertainment
"Robbie Williams: Britpop review | Alexis Petridis's album of the week.  (Columbia)Framed as the music Williams wanted to make post-Take That, Britpop surpasses pastiche and swerves unpredictably.  Homoerotic paean to Morrissey, anyone?The arrival of Robbie Williams’s 13th album has been a complicated business.",Entertainment,The Guardian,136,robbi william britpop review alexi petridiss album week columbiafram music william want make posttak britpop surpass pastich swerv unpredict homoerot paean morrissey anyoneth arriv robbi williamss album complic business,1,Entertainment
"Julianna Barwick and Mary Lattimore: Tragic Magic review | Safi Bugel's experimental album of the month.  (InFiné)The composers’ first collaborative album ebbs from epic, cinematic heights to delicate and dreamy lullabiesAfter years of touring together, Los Angeles-based composers Julianna Barwick and Mary Lattimore have developed what the former refers to as a “musical telepathy”.  Tragic Magic, the pair’s first collaborative album, evidences this bond: born out of a short series of improv sessions in Paris, it’s a wonderfully immersive set of new age and ambient tracks, where Barwick’s airy, reverbed vocals and atmospheric synth washes interweave with, and accentuate, Lattimore’s twinkling harp.",Entertainment,The Guardian,137,julianna barwick mari lattimor tragic magic review safi bugel experiment album month infinth compos first collabor album ebb epic cinemat height delic dreami lullabiesaft year tour togeth lo angelesbas compos julianna barwick mari lattimor develop former refer music telepathi tragic magic pair first collabor album evid bond born short series improv session pari wonder immers set new age ambient track barwick airi reverb vocal atmospher synth wash interweav accentu lattimor twinkl harp,1,Entertainment
"BTS named their new album Arirang.  What is so striking about their choice?.  The title is loaded with meaning for all Koreans, and will give fans globally an insight into the folksong culture that shaped the world’s biggest K-pop groupBTS announced their long-awaited comeback and world tour this week, with their first full-length album in nearly four years set for release on 20 March.",Entertainment,The Guardian,138,bt name new album arirang strike choic titl load mean korean give fan global insight folksong cultur shape world biggest kpop groupbt announc longawait comeback world tour week first fulllength album nearli four year set releas march,2,Business
"The best songs of 2025 … you may not have heard.  From a folk murder ballad to an impassioned call for peace, Guardian writers pick their favourite lesser-heard tracks of the yearThe pick of 2025’s film, music, art, TV, stage and games, chosen by Guardian critics and writersThere is a sense of deep knowing and calm to Not Offended, the lone song released this year by the Danish-Montenegrin musician (also an earlier graduate of the Copenhagen music school currently producing every interesting alternative pop star).  To warmly droning organ that hangs like the last streak of sunlight above a darkening horizon, Milovic assures someone that they haven’t offended her – but her steady Teutonic tenderness, reminiscent of Molly Nilsson or Sophia Kennedy, suggests that their actions weren’t provocative so much as evasive.",Entertainment,The Guardian,139,best song may heard folk murder ballad impass call peac guardian writer pick favourit lesserheard track yearth pick film music art stage game chosen guardian critic writersther sens deep know calm offend lone song releas year danishmontenegrin musician also earlier graduat copenhagen music school current produc everi interest altern pop star warmli drone organ hang like last streak sunlight darken horizon milov assur someon havent offend steadi teuton tender reminisc molli nilsson sophia kennedi suggest action werent provoc much evas,1,Entertainment
"Soul-baring ballads, alt-rock fury and neon-lit techno: five-star albums you may have missed this year.  Valentina Magaletti drummed for her life, Sarz got hips swinging and Daniel Avery got slinky and serpentine: our writers pick their favourite unsung LPs from 2025• The 50 best albums of 2025• More on the best culture of 2025Towards the end of Tether, there is a song called Silk and Velvet; its sound is characteristic of Annahstasia’s debut album.  Fingerpicked acoustic guitar and her extraordinary vocals – husky, expressive, elegant – are front and centre.",Entertainment,The Guardian,140,soulbar ballad altrock furi neonlit techno fivestar album may miss year valentina magaletti drum life sarz got hip swing daniel averi got slinki serpentin writer pick favourit unsung lp best album best cultur toward end tether song call silk velvet sound characterist annahstasia debut album fingerpick acoust guitar extraordinari vocal huski express eleg front centr,1,Entertainment
"The 10 best jazz albums of 2025.  Jakob Bro’s Bill Frisell collaboration finally saw the light, Cécile McLorin Salvant drew on her teenage pop memories and Anthony Braxton looked back to 1985• The 50 best albums of 2025• More on the best culture of 2025UK saxophonist, composer and bandleader Tom Smith was dropping clues to his distinctively contemporary take on jazz traditions as a BBC Young Jazz Musician of the Year finalist in 2014 and 2016, and later as a leader of groups including the sax trio Gecko and the LGBTQI+ ensemble Queertet.  But his powerful big band’s 2025 release, A Year in the Life, unveiled how exultantly Smith’s writing mingles orchestral influences from Maria Schneider and Carla Bley with slamming groovers from the big-band swing era, and a deep grasp of bebop chordal acrobatics, with raw and metallic guitar interventions thrown in.",Entertainment,The Guardian,141,best jazz album jakob bro bill frisel collabor final saw light ccile mclorin salvant drew teenag pop memori anthoni braxton look back best album best cultur saxophonist compos bandlead tom smith drop clue distinct contemporari take jazz tradit bbc young jazz musician year finalist later leader group includ sax trio gecko lgbtqi ensembl queertet power big band releas year life unveil exultantli smith write mingl orchestr influenc maria schneider carla bley slam groover bigband swing era deep grasp bebop chordal acrobat raw metal guitar intervent thrown,1,Entertainment
"The best old music we discovered this year.  Strange folk, lost pop, disco oddities and, um, Dido – here are the forgotten tracks that became this year’s most replayed revelations• The 50 best albums of 2025• More on the best culture of 2025I grew up listening to the Mamas and the Papas’ hits but had never heard their albums before this year.  I had no idea anything as creepy as Mansions lurked within their sunny oeuvre.",Entertainment,The Guardian,142,best old music discov year strang folk lost pop disco odditi dido forgotten track becam year replay revel best album best cultur grew listen mama papa hit never heard album year idea anyth creepi mansion lurk within sunni oeuvr,1,Entertainment
"‘It’s more productive than doomscrolling’: film-maker Ben Wheatley on his secret life as musician Dave Welder.  While playing with nine-figure Hollywood budgets, the Kill List and Meg 2 director has become a prolific music producer.  Next up is his experimental film, BulkDave Welder may just be the most prolific musician you’ve never heard of.",Entertainment,The Guardian,143,product doomscrol filmmak ben wheatley secret life musician dave welder play ninefigur hollywood budget kill list meg director becom prolif music produc next experiment film bulkdav welder may prolif musician youv never heard,1,Entertainment
"‘There’s serendipity to my story’: Emmylou Harris on Gram Parsons, her garlanded career – and her dog rescue centre.  Ahead of her final European tour, the US songwriter discusses her unlikely life as a country star, seeking advice from Pete Seeger – and why retirement isn’t on the cards just yetWhen Emmylou Harris was starting out in the late 1960s, she thought country music wasn’t for her.  “I hadn’t seen the light,” she says.",Entertainment,The Guardian,144,there serendip stori emmyl harri gram parson garland career dog rescu centr ahead final european tour songwrit discuss unlik life countri star seek advic pete seeger retir isnt card yetwhen emmyl harri start late thought countri music wasnt hadnt seen light say,1,Entertainment
"Singer-songwriter Bill Callahan: ‘I’m not a craftsman – I’m more of a drunk professor who likes coincidence and mistakes’.  Preceding the release of My Days of 58, the Americana legend once known as Smog discusses his Yorkshire youth, why Spotify is like the mafia and the bleak state of AIWe got married to [Smog’s] Our Anniversary.  When you write songs, do you think about how listeners might carry them into their own lives, or do the songs stop being yours after they are done? VanearleWhen I wrote [2019’s] Watch Me Get Married, I thought maybe people would have that as their wedding song.",Entertainment,The Guardian,145,singersongwrit bill callahan craftsman drunk professor like coincid mistak preced releas day americana legend known smog discuss yorkshir youth spotifi like mafia bleak state aiw got marri smog anniversari write song think listen might carri live song stop done vanearlewhen wrote watch get marri thought mayb peopl would wed song,2,Business
"The Cribs: Selling a Vibe review | Alexis Petridis’s album of the week.  (PIAS)The Jarman brothers’ ninth album adds a little 80s pop sheen to their distorted guitars and confident songwriting, while always sounding exactly like the indie stalwartsLast summer, the BBC broadcast an eight-part podcast called The Rise and Fall of Indie Sleaze.  Its third episode heavily featured the Cribs’ bassist and vocalist Gary Jarman talking about his band’s first flush of mid-00s fame.",Entertainment,The Guardian,146,crib sell vibe review alexi petridiss album week piasth jarman brother ninth album add littl pop sheen distort guitar confid songwrit alway sound exactli like indi stalwartslast summer bbc broadcast eightpart podcast call rise fall indi sleaz third episod heavili featur crib bassist vocalist gari jarman talk band first flush mid fame,1,Entertainment
"Toni Geitani: Wahj review | Ammar Kalia's global album of the month.  (Self-released)The Beirut-born producer’s masterly second album revels in dark tension to cinematic effect, finding beauty in ruinous soundArabic electronic experimentalism is thriving.  In recent years, diaspora artists such as Egyptian producer Abdullah Miniawy, singer Nadah El Shazly and Lebanese singer-songwriter Mayssa Jallad have each released records that combine the Arabic musical tradition of maqam and its slippery melodies with granular electronic sound design, rumbling bass and metallic drum programming to create a dramatic new proposition.",Entertainment,The Guardian,147,toni geitani wahj review ammar kalia global album month selfreleasedth beirutborn produc masterli second album revel dark tension cinemat effect find beauti ruinou soundarab electron experiment thrive recent year diaspora artist egyptian produc abdullah miniawi singer nadah shazli lebanes singersongwrit mayssa jallad releas record combin arab music tradit maqam slipperi melodi granular electron sound design rumbl bass metal drum program creat dramat new proposit,1,Entertainment
